eol -> que (0.40), la (0.37), el (0.32), canaria… (0.30), no (0.29), acuerdo (0.29), l (0.28), quedar (0.28), ofrezco (0.28), de (0.28)
gris -> ché (0.77), guevara (0.77), sentado (0.73), ocaso (0.72), marchitó (0.69), pudo (0.66), zapata (0.65), toro (0.63), pared (0.62), arcoiris (0.61)
sanet -> chungapelut (1.00), dirhanedu (1.00), nahaya (0.98), achimenceu (0.94), achimencеu (0.94), guayoch (0.94), dirhanеdu (0.91), tanaga (0.91), manrique (0.86), hombros (0.85)
hermanos -> pescadores (0.73), padres (0.71), nostalgioso (0.69), extraños (0.69), huye (0.69), partir… (0.68), novias (0.68), ahehiles (0.65), altamirano (0.65), quedaron (0.64)
encuentro -> aspiro (0.81), quebrada (0.78), escapa (0.72), situación (0.70), compartidos (0.70), imaginas (0.67), casual (0.66), trozos (0.66), leyera (0.65), mentira (0.65)
dejes -> tanquillo (0.78), estanque (0.77), despierte (0.77), evidencia (0.74), cola (0.71), acequia (0.70), encanto (0.69), seguirte (0.69), alpispa (0.68), moje (0.67)
cerro -> colorado (0.78), vidala (0.75), aclarando (0.73), agranda (0.72), grillo (0.71), ensombreciera (0.70), adiós (0.68), iba (0.68), entrerriano (0.67), montado (0.67)
cuna -> desgraciado (0.82), caí (0.77), espumada (0.74), paciencia (0.69), haciendo (0.69), olvides (0.68), comienza (0.67), trabajé (0.62), respirado (0.61), lloréis (0.60)
muera -> recuеrdo (0.96), chicharrero (0.92), marinero (0.84), pibe (0.76), naufragas (0.73), navegas (0.73), recuerdo (0.72), según (0.72), nеgro (0.71), casona (0.70)
esté -> dijiste (0.79), queriendo (0.78), ruta (0.78), querías (0.76), lleven (0.75), meta (0.69), satélites (0.66), alcancen (0.66), atención (0.65), seran (0.64)
esos -> reprime (0.70), continentes (0.70), caigan (0.67), mentira (0.66), cuestión (0.65), casitas (0.65), miedo (0.61), juguetes (0.59), vayamos (0.58), descubrió (0.57)
chungapelut -> sanet (1.00), dirhanedu (0.99), nahaya (0.96), achimencеu (0.94), achimenceu (0.93), guayoch (0.92), dirhanеdu (0.90), tanaga (0.89), manrique (0.86), hombros (0.86)
ventana -> asome (0.80), palmerita (0.78), solicita (0.75), ríe (0.75), cuculí (0.75), agita (0.73), abrí (0.73), chumai (0.73), acaricia (0.72), chupai (0.72)
vacaguaré -> aceró (0.93), gritó (0.91), extinguió (0.80), moraba (0.79), cantaremos (0.79), achamán (0.77), parió (0.76), tanausú (0.75), guió (0.73), achimencía (0.72)
plaza -> ana (0.86), doña (0.82), echó (0.81), 6 (0.79), elvira (0.79), audiencia (0.77), agustín (0.77), torre (0.77), catedral (0.74), vegueta (0.73)
tarajal -> gavia (0.91), aulaga (0.87), vachuelo (0.87), jable (0.84), cultivo (0.77), almendro (0.75), pregona (0.73), cielos (0.71), escudilla (0.71), retama (0.70)
cachimba -> formado (0.92), usan (0.88), varas (0.87), vara (0.87), media (0.86), manuela (0.84), corredera (0.81), prima (0.77), mamá (0.76), barrio (0.74)
alante -> patrás (0.91), caigas (0.89), alongues (0.86), quítate (0.85), arure (0.85), calzoncillos (0.85), hiciste (0.81), coser (0.78), chipude (0.78), estate (0.78)
tanaga -> guayoch (0.99), achimenceu (0.99), nahaya (0.97), dirhanеdu (0.95), dirhanedu (0.92), sanet (0.91), achimencеu (0.91), chungapelut (0.89), verbo (0.89), guaicaipuro (0.86)
brisa -> murmullo (0.82), suspiran (0.82), amantes (0.78), hermosas (0.77), conviven (0.75), fragantes (0.75), rumor (0.73), aroman (0.71), arco (0.71), retamas (0.68)
usted -> mande (0.85), eh (0.82), servida (0.81), 53 (0.79), ve (0.79), atocha (0.78), explotador (0.77), creer (0.77), morenitaa (0.75), bandeja (0.74)
guayoch -> tanaga (0.99), achimenceu (0.99), nahaya (0.99), dirhanеdu (0.95), dirhanedu (0.95), sanet (0.94), achimencеu (0.93), chungapelut (0.92), verbo (0.88), tupacamaru (0.86)
frontera -> limite (0.77), cobrar (0.70), sauzal (0.70), quiеres (0.70), prеcio (0.68), mirlo (0.67), normal (0.64), volvеrás (0.64), factura (0.64), breñas (0.63)
cojan -> suya (0.86), venden (0.80), ponen (0.79), pisar (0.79), regalo (0.79), insular (0.78), invasores (0.77), maleta (0.77), miseria (0.72), verter (0.72)
caminar -> camban (0.70), arma (0.70), ademanes (0.69), florеciendo (0.69), cuestas (0.67), ayuda (0.65), levántate (0.62), reventar (0.61), pesar (0.58), dulcemente (0.58)
mararía -> еsa (0.87), comparar (0.86), podía (0.83), florece (0.76), decidió (0.75), desata (0.75), busca (0.71), negó (0.71), quisiste (0.71), aprendernada (0.71)
casual -> situación (0.91), bares (0.91), leyera (0.87), empieza (0.82), suma (0.78), algunos (0.71), camellos (0.71), nombres (0.71), paquebot (0.70), arruina (0.70)
moja -> moño (0.93), eres… (0.88), … (0.82), corre (0.80), palos (0.76), acequia (0.76), darte (0.76), coqueta (0.75), alpispa (0.75), pegan (0.74)
coronan -> selvas (1.00), escarpada (0.91), taganana (0.83), junta (0.78), caletas (0.78), cielos (0.77), valle (0.76), anduvo (0.74), alegran (0.73), laguneras (0.73)
olvidarme -> podido (1.00), telde (0.93), tí (0.90), jamás (0.88), extiende (0.82), yazgo (0.79), querido (0.78), encontrarán (0.78), bellezas (0.76), aaaahm (0.76)
ausencia -> homenaje (0.77), pensaba (0.74), perdido (0.69), llenas (0.68), sos (0.67), orondo (0.65), quedar (0.65), elegantísimo (0.65), intentando (0.63), duros (0.63)
lanzando -> herreño (0.91), mayores (0.86), golfo (0.83), conejera (0.81), valentina (0.79), restinga (0.78), estilo (0.76), haz (0.75), cantada (0.74), golpea (0.74)
ante -> sеr (0.71), maravillo (0.71), descúbranse (0.71), rindió (0.71), brío (0.69), inquilinos (0.68), deco (0.68), detiene (0.65), gerias (0.64), devolvimos (0.64)
frescas -> derechas (0.92), ñameras (0.91), pregonamos (0.88), sardinas (0.88), pon (0.85), ventorrillero (0.85), turronera (0.85), turrón (0.84), ron (0.78), talla (0.76)
ye -> yé (0.90), terror (0.85), rayito (0.83), brasa (0.81), l (0.79), librándome (0.79), mericana (0.78), desí (0.77), buca (0.76), candela (0.72)
atrás -> resonando (0.74), cureñas (0.72), poema (0.71), angustias (0.70), echaba (0.67), abrazas (0.67), azar (0.67), malos (0.63), abrazos (0.60), duro (0.59)
reconstruir -> senos (0.79), cercas (0.79), espera (0.75), herida (0.75), ruinas (0.70), primero (0.70), reconstruiremos (0.69), sacar (0.69), libre (0.67), alzó (0.67)
huellas -> borrando (0.91), error (0.86), piensan (0.83), dejando (0.82), forjaron (0.81), unido (0.79), pueden (0.79), borrar (0.78), falso (0.75), progreso (0.74)
volverá -> normal (0.72), importan (0.72), irá (0.68), aquí… (0.68), estuvo (0.65), ido (0.63), agarfa (0.63), viciado (0.63), respirar (0.62), adеntro (0.61)
cuenta -> humille (0.84), recíclate (0.83), ciao (0.83), babas (0.80), moño (0.79), pela (0.79), borrón (0.79), pava (0.77), limpies (0.77), molicie (0.76)
muerto -> haberse (0.86), comprendido (0.85), cruces (0.83), clavadas (0.80), rinde (0.77), negándose (0.76), olvido (0.74), late (0.73), obediencia (0.70), promesas (0.70)
hagas -> rogar (0.89), rogares (0.87), encojas (0.86), daño (0.84), decídete (0.82), estires (0.81), llevaré (0.79), perder (0.78), desiеrtos (0.75), anda (0.74)
progreso -> falso (0.90), piensan (0.85), suelta (0.82), error (0.81), pueblitos (0.81), mensajeros (0.80), forjaron (0.79), ocultos (0.75), surca (0.75), libres (0.74)
loca -> pasion (0.84), ilusión (0.77), haberlo (0.76), decídete (0.75), pesó (0.73), velocidad (0.73), rogar (0.72), llevaré (0.72), tentadora (0.72), despedida (0.71)
tres -> recibe (0.85), triquitraaca (0.84), arre (0.84), teniques (0.83), extraño (0.82), triquitraca (0.82), fogal (0.80), verga (0.79), papas (0.79), kilo´ (0.78)
rí­o -> puente (0.97), alameda (0.96), lanzaba (0.92), memoría (0.91), engalana (0.90), acompasará (0.89), evoca (0.89), brísa (0.88), menudo (0.88), rísa (0.87)
tiempos -> verdades (0.85), principio (0.79), rompiendo (0.77), contra (0.76), ritmo (0.74), comprendes (0.70), felicidad (0.68), sentimos (0.68), vueltos (0.67), cimbreaba (0.67)
tantos -> revivir (0.71), enseño (0.66), puntos (0.66), encerrado (0.64), cualquiera (0.64), recuerdos (0.62), ama (0.61), lindos (0.61), taifa (0.60), sincero (0.59)
viven -> plantas (0.73), ciegos (0.71), niños (0.69), explotador (0.69), fósiles (0.68), archivo (0.68), casas (0.68), lombrices (0.67), perros (0.67), divertir (0.65)
aventura -> minuto (0.83), magia (0.82), temerario (0.79), estación (0.78), bebiera (0.73), envuelven (0.73), hablan (0.73), poro (0.72), desventura (0.72), instala (0.72)
forma -> ensayar (0.78), segundos (0.77), confundidos (0.75), aparte (0.74), dará (0.69), modestilla (0.69), supe (0.68), quedarás (0.67), adonde (0.67), quemo (0.67)
mucho -> sueñito (0.76), barrios (0.71), tacto (0.67), yеs (0.66), bonyour (0.66), swing (0.65), negrito (0.64), speak (0.64), sufrir (0.64), pesa (0.63)
pulso -> navidad (0.92), sabinas (0.90), latir (0.90), ocho (0.87), siente (0.83), pregonan (0.81), hierro (0.80), mazapán (0.79), caparazón (0.78), sendero (0.77)
dame -> duende (0.85), dunas (0.73), sentarse (0.71), decídete (0.70), velocidad (0.70), loca (0.70), lagunas (0.67), herramienta (0.66), llevaré (0.65), rogar (0.65)
tocar -> balón (0.80), partido (0.76), dirán (0.74), injusto (0.74), subir (0.74), chaval (0.73), «qué (0.69), masa (0.68), alcanza (0.68), podré (0.68)
selvas -> coronan (1.00), escarpada (0.93), taganana (0.83), junta (0.77), caletas (0.77), cielos (0.76), valle (0.76), anduvo (0.73), alegran (0.73), laguneras (0.72)
camina -> sandalias (0.79), achica (0.79), única (0.76), polvo (0.74), desconocido (0.71), sulema (0.70), ciudadanos (0.69), implantar (0.69), isleño (0.68), guiado (0.66)
identidad -> carnet (0.81), honor (0.77), reconstruiremos (0.76), hagámosle (0.73), implantar (0.72), tradición (0.72), hеredar (0.72), tiеne (0.70), boba (0.66), brega (0.64)
borrar -> piensan (0.81), miedos (0.79), huellas (0.78), decirte (0.78), implantar (0.78), pueden (0.77), hacerlo (0.76), error (0.76), progreso (0.71), forjaron (0.70)
vuelto -> loco (0.77), sentarse (0.74), tucumanos (0.68), cerros (0.66), sabido (0.66), problema (0.64), palomitay (0.63), movidos (0.62), desventura (0.61), rogares (0.60)
imagen -> traerá (0.87), amado (0.83), ofreciste (0.79), encontré (0.74), tеstigo (0.73), mе (0.72), amontonado (0.72), juegos (0.70), diste (0.69), dejándome (0.69)
diga -> inocente (0.77), desmande (0.77), nеgro (0.76), salga (0.74), “cruz (0.74), segar (0.73), oigo (0.73), pesada (0.70), raya” (0.68), coplita (0.68)
podido -> olvidarme (1.00), telde (0.94), tí (0.90), jamás (0.89), extiende (0.81), yazgo (0.80), querido (0.80), encontrarán (0.78), bellezas (0.74), repletas (0.74)
afuera -> cigarros (0.71), comidas (0.70), robar (0.70), ajena (0.69), vendes (0.68), gatos (0.68), apreta (0.68), café (0.66), cobijo (0.66), cervezas (0.65)
queremos -> sudar (0.81), cortada (0.81), hiel (0.80), cedemos (0.80), gritar (0.79), vinagre (0.79), dividan (0.79), caño (0.78), cazo (0.78), descendientes (0.78)
repásate -> andrés (0.99), salе (0.98), carburador (0.98), repásatе (0.97), motor (0.91), rogares (0.82), estires (0.81), encojas (0.80), movidos (0.78), sale (0.77)
calles -> contarte (0.85), ando (0.83), buscándote (0.83), quebrada (0.78), oyeron (0.76), reir (0.76), quierе (0.75), ayudan (0.72), ganas (0.72), tantas (0.70)
pinar -> habitaba (0.75), fataga (0.74), tagaana (0.73), abrumó (0.72), retama (0.69), pereza (0.67), tajaraste (0.67), quedé (0.66), valle (0.64), 63 (0.63)
cartón -> casas (0.99), techos (0.95), bajando (0.87), oye (0.79), carro (0.71), uhum (0.70), pelota (0.70), arrastrando (0.69), triste (0.69), sufrimiento (0.68)
tirinai -> tirinaina (0.99), tirinainai (0.97), haz (0.89), valentina (0.86), suenan (0.86), garoé (0.79), encontrarás (0.79), senda (0.77), alumbran (0.77), pozos (0.76)
favor -> prueba (0.78), egresa (0.78), escribiste (0.77), tarta (0.75), hazte (0.75), retiro (0.73), regresa (0.72), salgamos (0.72), perdon (0.71), lejanos (0.70)
empezar -> abierta (0.84), chino (0.79), encanto (0.79), cojo (0.77), doy (0.77), nevera (0.75), еmpezar (0.74), necesaria (0.68), implantar (0.67), rostro (0.66)
pudiera -> elevarte (0.76), escapas (0.75), retenerte (0.74), vaca (0.73), aferro (0.70), caballero (0.65), jinca (0.65), ir (0.65), fina (0.64), anhelo (0.64)
juego -> prendió (0.73), embustero (0.72), rito (0.66), pierrot (0.65), aprender (0.64), quemarme (0.63), confesar (0.63), carnaval (0.62), sembrar (0.62), recodo (0.61)
teno -> teror (0.90), tagaana (0.85), cuidado (0.82), abona (0.81), vió (0.81), fataga (0.81), armó (0.79), garachico (0.79), tenderete (0.75), pelotera (0.74)
dorado -> fiebre (0.88), virus (0.82), arrasando (0.82), construir (0.76), comidos (0.76), personajillos (0.74), cocinando (0.73), rastro (0.70), contagiado (0.69), asombro (0.68)
pensar -> divertido (0.77), resto (0.70), hagámosle (0.69), corre (0.67), honor (0.65), dará (0.65), bailemos (0.64), collar (0.63), reglas (0.63), calidad (0.62)
esconde -> florece (0.75), tunera (0.75), mararía (0.71), desata (0.70), pencas (0.70), enseñe (0.69), еsa (0.68), comparar (0.68), tirinainai (0.67), hierba (0.67)
guerras -> caudal (0.77), fabricando (0.75), abran (0.75), esfuma (0.74), territorio (0.70), encima (0.69), odio (0.67), borras (0.67), hablo (0.66), lejos (0.66)
planeta -> acabe (0.78), inquilinos (0.77), parto (0.76), ciudadanos (0.75), tuvo (0.75), descúbranse (0.73), emigrantes (0.72), seguía (0.72), reventar (0.70), discusión (0.70)
gocen -> levantense (0.97), alegrense (0.95), fín (0.93), levanntense (0.92), acerquense (0.90), demás (0.90), remueve (0.89), sacudanse (0.89), arrimense (0.89), corta (0.86)
alegrense -> fín (0.99), levanntense (0.99), demás (0.98), acerquense (0.97), arrimense (0.97), sacudanse (0.96), gocen (0.95), renovemos (0.89), importa (0.88), levantense (0.87)
llanos -> regresar (0.72), aguarda (0.68), señálame (0.68), enero (0.66), dibújame (0.66), genista (0.65), tuya (0.65), escombrera (0.64), fatiga (0.63), cabo (0.60)
sigo -> entereza (0.79), consciente (0.76), amado (0.72), traerá (0.71), arrima (0.70), plan (0.69), tristezas (0.69), esperando (0.67), bellezas (0.67), lejanos (0.67)
cantamos -> sardinas (0.77), pregonamos (0.76), diós (0.76), frescas (0.70), nacimos (0.70), turronera (0.69), ventorrillero (0.69), pon (0.69), turrón (0.69), viva (0.68)
salpicona -> acequia (0.95), coqueta (0.95), alpispa (0.92), espere (0.86), … (0.85), eres… (0.85), tanquillo (0.81), bonita (0.81), serás (0.81), revoloteando (0.80)
adiós -> apartas (0.78), prenda (0.76), regresar (0.74), ahogue (0.72), iba (0.71), jugaba (0.68), cerro (0.68), violetas (0.67), ramito (0.67), arguineguín (0.66)
demás -> fín (0.99), alegrense (0.98), levanntense (0.97), arrimense (0.97), acerquense (0.96), sacudanse (0.96), importa (0.92), gocen (0.90), renovemos (0.86), regala (0.85)
ata -> guanchе (0.80), tucumana (0.79), ánima (0.75), alazán (0.74), separa (0.73), montado (0.71), aquello (0.69), alumbra (0.69), don (0.69), llamarme (0.67)
guardo -> carta (0.80), tríste (0.76), escribiste (0.76), juegos (0.76), lejanos (0.75), embriagado (0.73), púso (0.73), clavel (0.72), amontonado (0.71), diste (0.70)
madrid -> añoras (0.78), consigues (0.75), chinos (0.74), habituar (0.74), fumabas (0.73), ayudan (0.71), emprendió (0.70), intermediarios (0.67), comer (0.66), atento (0.65)
tejeda -> riscales (0.93), montañas (0.82), nublo (0.81), fataga (0.74), altar (0.74), lírica (0.73), cadenas (0.72), cumbrе (0.72), breñas (0.72), niеve (0.72)
cuento -> dolido (0.96), abrumó (0.95), vos (0.84), vivo (0.76), plata (0.73), afeitada (0.72), aparto (0.71), azafrán (0.70), casanova (0.70), saranda (0.70)
fín -> alegrense (0.99), demás (0.99), levanntense (0.99), arrimense (0.98), acerquense (0.97), sacudanse (0.97), gocen (0.93), importa (0.91), renovemos (0.89), corta (0.84)
jugando -> dulcemente (0.73), sigues (0.72), mataba (0.71), jugaba (0.70), escondido (0.69), borrarlas (0.68), dando (0.67), cañas (0.67), volvieras (0.67), prenda (0.67)
faro -> tempestad (0.73), encontrarás (0.72), senda (0.70), cabezas (0.68), garoé (0.68), pestañas (0.66), juncal (0.66), cortó (0.65), arado (0.65), rival (0.65)
agarfa -> importan (0.89), mimeráhanab (0.86), zinú (0.83), zinuhá (0.78), fabulilla (0.73), ahemen (0.71), traigas (0.71), eras (0.71), ocurrido (0.70), pañales (0.68)
trae -> repite (0.84), cielos (0.81), tindaya (0.79), roques (0.78), frutas (0.76), arcanos (0.75), atlántida (0.74), arrebol (0.74), posada (0.73), drago (0.72)
dolido -> cuento (0.96), abrumó (0.87), vos (0.85), vivo (0.77), afeitada (0.76), casanova (0.74), fogal (0.73), sinead (0.72), corre (0.72), oconnor (0.71)
tinto -> garrafón (0.94), coche (0.91), bebí (0.91), echele (0.91), arranca (0.88), pipa (0.86), pirata (0.80), lebrillo (0.77), comí (0.75), vino (0.74)
vuelvo -> musas (0.72), cojo (0.68), carga (0.66), fluyen (0.66), tí (0.65), yazgo (0.63), telde (0.63), arcilla (0.63), podido (0.61), alejas (0.60)
cantor -> cantó (0.79), fué (0.77), falsario (0.73), embustero (0.73), cometido (0.72), barrotes (0.68), voló (0.68), pequeño (0.68), cantaba (0.66), ombligo (0.66)
norte -> caparazón (0.82), creyó (0.81), puеs (0.81), equivocó (0.74), anduvo (0.73), mariscos (0.71), sur (0.70), pachamama (0.70), equivocaba (0.70), conejera (0.68)
bruma -> graja (0.80), media (0.79), vara (0.76), divisa (0.75), asustando (0.72), usan (0.72), invierno (0.71), procesión (0.70), arco (0.70), clavado (0.68)
visto -> vestir (0.77), transporte (0.75), llena (0.69), desechos (0.69), dinero (0.69), infeliz (0.69), llorar (0.68), respirado (0.67), oyeron (0.67), esperas (0.67)
colores -> arco (0.91), desbordan (0.87), conviven (0.83), suben (0.78), abres (0.77), naturaleza (0.76), catedral (0.76), une (0.76), heridas (0.75), desprende (0.75)
tinguaro -> doramas (0.91), reyes (0.88), axit (0.86), vinieron (0.84), extinguieron (0.83), tanausú (0.83), bentejuí (0.83), guiados (0.83), hautacuperche (0.81), guaicaipuro (0.78)
alegres -> agustín (0.89), audiencia (0.87), campanas (0.84), traes (0.80), torre (0.79), castillo (0.77), telmo (0.75), tristeza (0.74), bermeja (0.73), catedral (0.71)
vaya -> acabar (0.76), telarito (0.74), amontonado (0.74), regleta (0.72), dondequiera (0.72), pedal (0.69), playa (0.67), fataga (0.63), muralla (0.63), hago (0.63)
puedes -> pregúntale (0.86), limite (0.83), puedas (0.82), compartidos (0.82), empiezas (0.80), moverte (0.80), cobrar (0.78), diablo (0.77), prеcio (0.77), lea (0.77)
doramas -> tinguaro (0.91), tanausú (0.89), guiados (0.88), bentejuí (0.87), achimencía (0.87), hautacuperche (0.82), reyes (0.80), axit (0.77), bajaron (0.77), rada (0.77)
hierba -> telarañas (0.88), pajarito (0.88), cerrando (0.87), fusilan (0.84), sentencian (0.80), creció (0.78), torturan (0.76), enorme (0.73), grieta (0.73), mala (0.73)
acaba -> comprar (0.75), inicio (0.74), malandanza (0.72), andabas (0.68), pescar (0.65), andamos (0.65), pregunta (0.65), comienzo (0.64), universales (0.63), salto (0.63)
achimenceu -> guayoch (0.99), tanaga (0.99), nahaya (0.99), dirhanеdu (0.96), dirhanedu (0.96), sanet (0.94), chungapelut (0.93), achimencеu (0.93), verbo (0.89), tupacamaru (0.86)
vestida -> sirenitas (0.91), alfonsina (0.79), dormida (0.79), diestro (0.75), algas (0.74), llevarán (0.73), famara (0.72), cinco (0.71), peces (0.71), tirate (0.70)
cinco -> sirenitas (0.79), vestida (0.71), picos (0.69), bautizo (0.69), algas (0.68), duros (0.68), darme (0.67), razones (0.67), confesar (0.66), kilo´ (0.65)
sube -> chanson (0.86), paroles (0.85), palmerita (0.83), palmero (0.82), asome (0.80), catai (0.78), chumai (0.77), solicita (0.77), febril (0.76), chupai (0.76)
poder -> añoras (0.75), forjarán (0.69), encauzar (0.67), convocar (0.63), tarea (0.62), ocho (0.62), desafío (0.62), habrá (0.60), habré (0.60), espíritu (0.59)
peraza -> guillén (0.92), arenales (0.86), fernán (0.85), herrera (0.83), dígalo (0.82), sancho (0.81), vala (0.80), maldonado (0.79), dó (0.78), gobernador (0.78)
invasores -> venía (0.90), vеnía (0.88), llevaron (0.88), castellanas (0.85), verá (0.81), carguita (0.80), til (0.78), cojan (0.77), taganana (0.76), anochecida (0.75)
verte -> graja (0.81), to’itos (0.73), anhelo (0.72), días (0.72), amarga (0.68), encendido (0.66), desolar (0.65), tuya (0.64), funden (0.64), invierno (0.63)
veo -> еntre (0.84), nubеs (0.77), veía (0.68), haima (0.66), ponen (0.66), siento (0.66), miras (0.65), tindouf (0.65), acuerdo (0.63), empañan (0.63)
enamora -> ilumina (0.83), hondamente (0.79), sahara (0.77), sulema (0.75), sueña (0.74), tindouf (0.74), haima (0.73), alumbraba (0.73), tiernamente (0.73), riega (0.73)
jable -> vachuelo (0.96), cultivo (0.93), gavia (0.88), cielos (0.88), caletas (0.85), tarajal (0.84), caldera (0.81), aulaga (0.78), chinija (0.77), tefía (0.76)
amante -> faldas (0.67), abrazarlo (0.63), sensible (0.63), polen (0.63), quinta (0.63), pirotecnia (0.62), ms (0.62), callada (0.62), enfermo (0.62), quisimos (0.61)
sonrisa -> descubro (0.69), ternura (0.67), cano (0.66), ido (0.65), cortar (0.64), desventura (0.62), carmita” (0.62), perdido (0.61), di (0.61), estrеllas (0.61)
aurora -> nubеs (0.78), primera (0.76), campana (0.75), llueve (0.74), anuncia (0.72), hoguera (0.66), tranquilas (0.66), pardelas (0.66), divisa (0.66), ilumina (0.65)
leche -> oveja (0.80), bebеr (0.79), ovеja (0.78), comerás (0.77), garañón (0.77), chipude (0.76), cabra (0.73), importan (0.72), traigas (0.70), palo (0.70)
levante -> estudiante (0.80), confiados (0.74), otoñal (0.72), barca (0.70), dejad (0.69), atadas (0.69), barbuzano (0.66), ramona (0.66), chascona (0.65), vente (0.65)
matan -> mirando (0.71), aparto (0.70), clases (0.69), parecer (0.69), ciegos (0.69), castigo (0.69), alivie (0.68), solito (0.68), eras (0.68), haya (0.68)
palo -> ovеja (0.84), oveja (0.84), bebеr (0.78), pegan (0.77), lola (0.76), palos (0.74), fayal (0.73), … (0.71), leche (0.70), barbuzano… (0.69)
sendero -> mudas (0.85), pequeña (0.81), profunda (0.80), coya (0.79), sembra’o (0.78), pulso (0.77), estela (0.72), lame (0.71), junta (0.71), vuelve (0.71)
naturaleza -> fortaleza (0.91), tricias (0.89), emerge (0.89), conviven (0.86), arco (0.81), arenas (0.77), colores (0.76), prisión (0.75), catedral (0.75), crepúsculo (0.74)
musa -> ilumina (0.83), partida (0.78), bella (0.73), volando (0.73), estrella (0.71), nubеs (0.71), pautas (0.70), manan (0.70), consume (0.70), luceros (0.70)
fortaleza -> naturaleza (0.91), emerge (0.85), recurso (0.82), arenas (0.75), prisión (0.74), tricias (0.74), natural (0.73), conviven (0.72), pidiendo (0.72), reino (0.70)
podré -> pasamos (0.87), recordarás (0.87), michèle (0.81), eh (0.75), verano (0.74), come (0.73), alcanzo (0.73), carnada (0.73), morenitaa (0.73), marcho (0.71)
sembrando -> comunica (0.78), desafío (0.74), abriendo (0.74), germine (0.72), elegido (0.72), convocar (0.72), semilla (0.70), residuos (0.69), convertir (0.68), tenerife (0.68)
queso -> recental (0.94), caliente (0.89), tostao (0.88), talega (0.86), tierno (0.84), millo (0.83), manojo (0.81), besos (0.76), voladores (0.76), oliendo (0.75)
ellas -> alumbré (0.86), cantarlas (0.83), escucharlas (0.81), agonía (0.79), quererte (0.74), adoro (0.73), aprendí (0.73), prenda (0.70), quiebra (0.70), folías (0.68)
mediterráneo -> acercas (0.92), lararai (0.86), rara (0.85), nací (0.75), dóndе (0.74), crié (0.72), genista (0.72), conciencia (0.72), región (0.71), 63 (0.70)
latidos -> revivo (0.77), comunica (0.74), diste (0.65), verdades (0.65), crucifijo (0.61), rompiendo (0.61), señal (0.61), sembrando (0.60), tenerife (0.60), inmemorial (0.58)
tal -> racimos (0.87), pretendido (0.86), parrales (0.86), pergamino (0.82), haciendo (0.75), renunciar (0.74), respirado (0.73), rogares (0.71), encojas (0.71), estires (0.70)
gigante -> ms (0.77), dejado (0.75), pensamiento (0.66), auroras (0.66), asienta (0.66), universal (0.65), anuncian (0.65), aguarda (0.65), prisión (0.63), emerge (0.63)
bosque -> lloren (0.78), tricias (0.77), ozono (0.76), transporte (0.75), acaben (0.74), mirlos (0.73), eleva (0.71), reclama (0.68), arde (0.67), quema (0.66)
velas -> asustando (0.80), largando (0.80), costeros (0.78), procesión (0.78), arriando (0.76), rumantela (0.75), janubio (0.74), brísa (0.72), iza (0.72), dispuesta (0.71)
corredera -> formado (0.89), cachimba (0.81), nombrado (0.75), bomberos (0.73), mamá (0.72), sirenas (0.69), barrio (0.69), campanas (0.67), gánigo (0.66), bebemos (0.66)
marea -> sentimos (0.81), hicieron (0.78), emponzoñar (0.76), cambiarán (0.74), fincas (0.74), timples (0.70), cimbreaba (0.68), aldea (0.67), nidos (0.65), tenemos (0.64)
cierra -> diente (0.86), mirto (0.84), yerbabuena (0.84), ruiseñor (0.83), flor… (0.81), veneno (0.80), serpiente (0.78), alcemos (0.78), ciempiés (0.77), muralla (0.75)
miel -> enanos (0.80), almendras (0.79), bereber (0.79), raíz (0.77), europa (0.76), simiente (0.75), lcielo (0.72), esperé (0.70), probar (0.70), rogando (0.70)
siembra -> labrador (0.88), salvaremos (0.87), sepa (0.82), cerraremos (0.80), admitimos (0.75), gozo (0.75), vende (0.73), pesar (0.72), moverla (0.71), abrazar (0.71)
queriendo -> esté (0.78), viajes (0.74), llevado (0.72), dijiste (0.71), descubro (0.71), encontrarán (0.70), funden (0.69), olvides (0.68), querías (0.68), diferente (0.67)
bar -> not (0.79), why (0.78), ambiente (0.78), copas (0.74), motel (0.74), buscarse (0.73), acostumbran (0.73), sirviendo (0.72), diferentes (0.71), heroína (0.70)
querida -> escucharlas (0.71), funden (0.70), separó (0.68), agonía (0.68), ilusión (0.68), roca (0.68), dejándome (0.66), pasion (0.66), ellas (0.65), escribía (0.65)
ronda -> arrecifes (0.82), habitantes (0.80), marinos (0.78), murión (0.77), caballos (0.75), cita (0.73), fosforescentes (0.72), harán (0.69), acudiste (0.69), novio (0.62)
hora -> rencor (0.72), lastima (0.71), mierda (0.69), esperé (0.69), lloré (0.67), general (0.65), hallé (0.65), campana (0.64), colocado (0.63), salvaremos (0.62)
rocas -> levantarán (0.78), incrustándosе (0.73), fuertes (0.71), duermе (0.68), ilumina (0.67), esculpieron (0.67), costas (0.66), entеro (0.66), verdеs (0.65), confiesa (0.64)
muere -> volaba (0.71), pueden (0.64), borrar (0.64), muerta (0.64), latente (0.63), retrasar (0.61), lejano (0.61), roques (0.61), empieza (0.60), verso (0.59)
torre -> audiencia (0.93), agustín (0.91), ”vivo (0.83), margen” (0.80), alegres (0.79), plaza (0.77), vegueta (0.76), nada” (0.75), “estoy (0.74), castillo (0.74)
lanza -> malandanza (0.69), guanchе (0.63), sonido (0.62), hallo (0.61), puntas (0.61), rumbos (0.60), dó (0.59), ocurrencia (0.58), arrasando (0.58), mire (0.57)
